review_beauty_12_4	pr02	the smell and color are different	Tuoksu ja väri ovat erilaisia 
review_beauty_12_4	pr02	Is there  any difference between the one typed with A22 and the one with A82?	Onko A22- ja A82-tuotteiden välillä mitään eroa? 
review_beauty_12_4	pr02	I don't know why, the one I bought here was totally different with the one I bought in Hk in smell and color.	En tiedä miksi, mutta täältä ostamani tuotteen tuoksu ja väri olivat aivan erilaiset kuin saman tuotteen, jonka ostin Hongkongista. 
review_beauty_12_4	pr02	I'm not sure if this is true.	En usko, että tuote on aito. 
review_beauty_14_5	pr03	An excellent product	Loistava tuote 
review_beauty_14_5	pr03	This stuff is amazing.An excellent product.	Tämä aine on mieletöntä. Loistava tuote. 
review_beauty_14_5	pr03	Will keep your eye-liner and mascara on all day and night...and if you party too hard and fall asleep in your make-up..you can guarantee it will still be there in the morning!Ideal for dotting on your eyes and fairly effective at keeping on lipstick.	Pitää rajaukset ja ripsivärin kunnossa koko päivän ja yön...ja jos päätyy juhlimaan vähän liikaa ja nukahtaa meikit naamassa..vannon että meikki on kunnossa vielä aamullakin! Ihanteellinen luomille paineltavaksi ja toimii myös melko hyvin pitämään huulipunan kunnossa. 
review_beauty_17_5	pr04	I recommend you to try guys. I love all Macely line.	Suosittelen kokeilemaan. Tykkään kaikista Macelyn tuotteista. 
review_beauty_17_5	pr04	I usually don't bother to write reviews for products, but this one I simply could not pass up.	En yleensä jaksa kirjoittaa tuotearvosteluja, mutta tästä oli pakko. 
review_beauty_17_5	pr04	I have combination skin that gets really dry and really oily in some parts.I love this product.	Minulla on yhdistelmäiho, joka on paikoin tosi kuiva ja paikoin tosi rasvainen.Tykkään tästä tuotteesta. 
review_beauty_17_5	pr04	I recommend you to try guys.	Suosittelen kokeilemaan. 
review_beauty_17_5	pr04	I love all Macely line.	Tykkään kaikista Macelyn tuotteista. 
review_beauty_18_5	pr05	I have found my holy grail of skin cosmetics	Olen löytänyt täydellisen ihonhoitotuotesarjan 
review_beauty_18_5	pr05	I am a self confessed beauty product junkie.	Olen todellinen kauneustuotteiden suurkuluttaja. 
