reviews/hr/prof/conllu/review_beauty_12_4.hr.conllu	3	6	3	6	4	8	0	7	0	3	0	3	4	0	0	4	0	0	
reviews/hr/prof/conllu/review_beauty_14_5.hr.conllu	7	7	3	5	6	1	0	13	0	0	1	0	6	5	0	7	0	0	
reviews/hr/prof/conllu/review_beauty_17_5.hr.conllu	5	3	3	1	2	4	0	10	0	1	3	2	10	2	0	11	0	0	
reviews/hr/prof/conllu/review_beauty_18_5.hr.conllu	6	9	1	4	2	2	0	17	0	1	0	1	4	4	0	4	0	0	
reviews/hr/prof/conllu/review_beauty_21_5.hr.conllu	10	6	3	7	2	7	0	16	1	0	0	0	8	0	0	5	0	0	
reviews/hr/prof/conllu/review_beauty_25_5.hr.conllu	6	3	6	4	4	1	0	6	2	2	1	1	7	1	0	7	0	0	
reviews/hr/prof/conllu/review_beauty_53_1.hr.conllu	16	4	7	7	5	2	0	21	2	5	1	0	11	3	0	7	0	0	
reviews/hr/prof/conllu/review_beauty_58_1.hr.conllu	5	0	5	7	3	6	0	13	0	1	2	1	9	1	0	10	0	0	
reviews/hr/prof/conllu/review_beauty_62_1.hr.conllu	8	3	2	3	1	5	0	11	1	3	2	3	8	1	0	8	0	0	
reviews/hr/prof/conllu/review_beauty_6_5.hr.conllu	16	4	4	7	2	1	0	13	0	1	1	0	9	2	0	8	0	0	
reviews/hr/prof/conllu/review_beauty_82_1.hr.conllu	6	2	3	10	3	2	1	10	0	1	7	0	4	4	0	10	0	0	
reviews/hr/prof/conllu/review_beauty_87_1.hr.conllu	8	3	2	3	2	3	0	10	2	1	4	4	8	0	0	8	0	0	
reviews/hr/prof/conllu/review_beauty_88_1.hr.conllu	12	2	7	9	2	2	0	12	0	1	4	3	10	2	0	11	0	0	
reviews/hr/prof/conllu/review_beauty_93_1.hr.conllu	10	1	2	5	1	3	0	11	3	1	3	5	13	5	0	8	1	0	
reviews/hr/prof/conllu/review_books_11_5.hr.conllu	3	4	1	4	2	3	0	9	0	0	3	0	13	3	0	8	10	0	
reviews/hr/prof/conllu/review_books_14_4.hr.conllu	7	3	2	5	2	2	0	14	0	0	3	0	4	4	0	7	0	0	
reviews/hr/prof/conllu/review_books_16_1.hr.conllu	7	4	3	3	4	2	0	11	1	4	2	0	8	0	0	8	0	0	
reviews/hr/prof/conllu/review_books_172_1.hr.conllu	6	10	5	5	2	6	0	16	1	1	2	3	7	0	0	7	0	0	
reviews/hr/prof/conllu/review_books_18_4.hr.conllu	6	6	5	6	3	5	0	13	1	0	2	5	6	7	0	12	0	0	
reviews/hr/prof/conllu/review_books_19_4.hr.conllu	9	8	5	4	3	8	0	20	2	1	5	1	6	5	0	13	2	0	
reviews/hr/prof/conllu/review_books_1_4.hr.conllu	4	6	5	0	1	6	0	14	0	1	0	4	5	0	0	5	0	0	
reviews/hr/prof/conllu/review_books_233_1.hr.conllu	4	5	3	8	3	4	0	9	0	0	4	3	7	2	0	9	0	0	
reviews/hr/prof/conllu/review_books_268_2.hr.conllu	7	6	7	19	5	5	0	18	0	1	4	1	11	1	0	13	0	0	
